year,last_name, first_name,player_id,team_id,pa,pitches,runs_all,runs_heart,runs_shadow,runs_chase,runs_waste
2021,Merrifield, Whit,593160,118,658,1304,-30,-2,-21,-6,-2
2021,Taylor, Michael A.,572191,118,459,1097,-37,-7,-19,-9,-3
2021,Lopez, Nicky,670032,118,498,958,-23,-4,-14,-3,-1
2021,Santana, Carlos,467793,118,547,1174,-59,-13,-36,-9,0
2021,Benintendi, Andrew,643217,118,480,1074,-18,2,-9,-10,0
2021,O'Hearn, Ryan,656811,118,225,500,-21,-4,-10,-6,-1
2021,Perez, Salvador,521692,118,610,1408,-6,23,-2,-22,-5
2021,Alberto, Hanser,593643,118,245,537,-9,3,-7,-4,0
2021,Dozier, Hunter,641531,118,458,1013,-43,-6,-24,-13,-1
2021,Turner, Justin,457759,119,545,1172,-18,6,-11,-12,-1
2021,Lux, Gavin,666158,119,322,709,-21,1,-14,-8,0
2021,McKinney, Billy,641856,119,249,554,-29,-5,-17,-5,-1
2021,Muncy, Max,571970,119,468,915,-4,23,-19,-8,0
2021,Smith, Will,669257,119,436,942,-19,-1,-13,-4,0
2021,Bellinger, Cody,641355,119,341,811,-45,-9,-31,-4,-1
2021,Seager, Corey,608369,119,384,843,-3,11,-10,-3,-1
2021,Pollock, AJ,572041,119,403,839,9,16,-1,-6,-1
2021,Pujols, Albert,405395,119,286,563,-15,-4,-6,-4,-2
2021,Betts, Mookie,605141,119,491,989,-16,2,-13,-4,-1
2021,Turner, Trea,607208,119,624,1344,-3,17,-8,-10,-2
2021,Taylor, Chris,621035,119,501,1174,-12,13,-15,-9,-1
2021,Pham, Tommy,502054,135,433,907,-35,-5,-22,-8,-1
2021,Frazier, Adam,624428,135,562,1120,-25,1,-19,-6,0
2021,Profar, Jurickson,595777,135,334,758,-34,-12,-16,-6,-1
2021,Myers, Wil,571976,135,400,930,-15,11,-12,-12,-1
2021,Cronenworth, Jake,630105,135,547,1051,-17,13,-21,-8,0
2021,Hosmer, Eric,543333,135,497,1063,-25,4,-18,-11,0
2021,Machado, Manny,592518,135,549,1075,2,20,-8,-9,0
2021,Tatis Jr., Fernando,665487,135,459,1102,4,30,-14,-10,-2
2021,Grisham, Trent,663757,135,421,879,-19,4,-18,-5,0
2021,Kim, Ha-Seong,673490,135,250,527,-21,-7,-7,-6,-1
2021,Caratini, Victor,605170,135,290,588,-27,-3,-19,-3,-1
2021,Posey, Buster,457763,137,397,817,-3,6,-6,-3,0
2021,Bryant, Kris,592178,137,502,1128,-17,14,-18,-12,-2
2021,Solano, Donovan,456781,137,312,676,-15,-6,-6,-3,0
2021,Yastrzemski, Mike,573262,137,453,989,-31,-2,-23,-6,-1
2021,Crawford, Brandon,543063,137,494,1145,-5,26,-23,-8,-1
2021,Longoria, Evan,446334,137,256,529,-11,5,-9,-7,0
2021,Dickerson, Alex,543105,137,270,631,-21,2,-16,-7,0
2021,Slater, Austin,596103,137,255,548,-13,2,-9,-6,0
2021,Duggar, Steven,621453,137,239,509,-9,7,-9,-7,-1
2021,Flores, Wilmer,527038,137,391,819,-19,-4,-8,-6,-1
2021,Wade Jr., LaMonte,664774,137,316,744,-1,13,-10,-4,0
2021,Ruf, Darin,573131,137,248,548,0,16,-10,-5,-1
2021,Belt, Brandon,474832,137,296,750,-4,5,-6,-4,0
2021,Mejía, Francisco,642336,139,245,561,-6,6,-2,-6,-3
2021,Arozarena, Randy,668227,139,516,1127,-21,-5,-8,-7,-1
2021,Kiermaier, Kevin,595281,139,347,805,-21,6,-17,-9,-1
2021,Choi, Ji-Man,596847,139,243,560,-12,7,-12,-6,-1
2021,Phillips, Brett,621433,139,219,526,-8,-5,3,-6,-1
2021,Zunino, Mike,572287,139,318,751,-12,11,-15,-8,0
2021,Cruz, Nelson,443558,139,519,1155,-19,10,-20,-8,-2
2021,Franco, Wander,677551,139,290,575,-2,8,-6,-3,-1
2021,Margot, Manuel,622534,139,425,889,-25,-4,-12,-8,-1
2021,Meadows, Austin,640457,139,507,1131,-13,14,-17,-9,-2
2021,Lowe, Brandon,664040,139,526,1268,-12,21,-19,-13,-1
2021,Díaz, Yandy,650490,139,468,900,-29,-16,-6,-6,-1
2021,Wendle, Joey,621563,139,449,900,-16,5,-8,-11,-3
2021,Walsh, Jared,665120,108,488,1110,9,22,-3,-7,-2
2021,Ohtani, Shohei,660271,108,501,1184,5,13,2,-10,-1
2021,Lagares, Juan,501571,108,297,622,-19,-4,-11,-4,-1
2021,Stassi, Max,545358,108,246,564,-12,13,-21,-3,-1
2021,Marsh, Brandon,669016,108,213,488,-20,-1,-12,-6,-1
2021,Eaton, Adam,594809,108,241,548,-19,-1,-9,-8,-1
2021,Gosselin, Phil,594838,108,323,656,-11,0,-3,-7,-1
2021,Mayfield, Jack,608686,108,261,588,-18,0,-11,-6,-1
2021,Upton, Justin,457708,108,297,683,-28,-2,-15,-10,-1
2021,Fletcher, David,664058,108,619,1030,-28,-14,-5,-4,-4
2021,Marte, Ketel,606466,109,322,648,4,15,-6,-4,-1
2021,Rojas, Josh,668942,109,458,978,-21,-4,-9,-7,-1
2021,Peralta, David,444482,109,464,959,-15,9,-17,-7,0
2021,Walker, Christian,572233,109,386,951,-29,-1,-19,-8,0
2021,Smith, Pavin,656976,109,462,875,-15,11,-19,-7,0
2021,Kelly, Carson,608348,109,297,619,-20,-1,-14,-4,-1
2021,VanMeter, Josh,642165,109,249,526,-18,3,-17,-4,0
2021,Varsho, Daulton,662139,109,272,628,-14,-1,-9,-4,-1
2021,Ahmed, Nick,605113,109,416,888,-33,-13,-16,-2,-2
2021,Riley, Austin,663586,144,625,1427,-5,12,0,-15,-2
2021,Freeman, Freddie,518692,144,640,1504,-7,2,-4,-5,-1
2021,Rosario, Eddie,592696,144,432,939,-7,3,-2,-8,-1
2021,Heredia, Guillermo,628338,144,287,673,-30,-6,-18,-5,0
2021,Duvall, Adam,594807,144,524,1196,1,32,-15,-12,-4
2021,Albies, Ozzie,645277,144,684,1636,-34,1,-24,-10,-1
2021,Acuña Jr., Ronald,660670,144,267,620,-2,-6,6,-2,0
2021,d'Arnaud, Travis,518595,144,244,567,-22,-2,-18,-1,0
2021,Soler, Jorge,624585,144,521,1167,-29,0,-16,-12,-1
2021,Swanson, Dansby,621020,144,617,1370,-23,26,-36,-13,0
2021,Pederson, Joc,592626,144,459,1033,-22,-10,-2,-8,-1
2021,Franco, Maikel,596748,110,369,735,-28,-5,-10,-11,-1
2021,Hays, Austin,669720,110,455,908,-10,12,-13,-7,-1
2021,Mancini, Trey,641820,110,536,1160,-22,14,-20,-14,-2
2021,Mountcastle, Ryan,663624,110,520,1265,-23,9,-15,-15,-3
2021,Valaika, Pat,642162,110,242,578,-25,-10,-9,-5,-2
2021,Santander, Anthony,623993,110,395,934,-29,2,-19,-9,-2
2021,Mullins, Cedric,656775,110,592,1197,-10,16,-15,-9,-1
2021,Severino, Pedro,600474,110,343,811,-18,7,-16,-8,-1
